Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"María Moliner, en el centenario de su nacimiento","no","N/A","http://cvc.cervantes.es/lengua/mmoliner/default.htm","N/A","Sitio Web","Abierto","N/A","Centro Virtual Cervantes","N/A","Español","CELL","Lingüística","N/A","Moliner, María","Ofrece información sobre la biografía y bibliografía sobre María Moler. |Se recogen los materiales publicados en el Centro Virtual Cervantes con motivo de su centenario, celebrado el 30 de marzo de 2000|.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Martínez Lage, Santiago.   Diccionario diplomático iberoamericano","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Español","CEI","Relaciones Internacionales","N/A","Relaciones internacionales ; Obras de referencia","Por... [y] Amador Martínez Morcillo.  MadridCultura Hispánica1987 249 p. ; 23 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Martínez Silva, Mario.   Ensayo de un diccionario de política y administración pública","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Español","CEI","Ciencia Política","N/A","Relaciones internacionales ; Administración pública ; Ciencia política ; Obras de referencia","Coordinación... Compilación y síntesis: Hilda Aburto Muñoz [y otros].  [México][Colegio de Licenciados en Ciencias Políticas y Administración Pública][s.f.] 3 v. : ilus. ; 23 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mathematical Population Studies","ambos","N/A","http://ehis.ebscohost.com/ehost/detail?sid=443920d4-7959-4413-ac36-3c72791e022c%40sessionmgr14&vid=1&hid=4&bdata=Jmxhbmc9ZXMmc2l0ZT1laG9zdC1saXZl#db=a9h&jid=7WC","N/A","N/A","Sólo comunidad Colmex","N/A","Routledge","N/A","N/A","N/A","N/A","N/A","Población ; Demografía ; Modelos matemáticos  ; Revistas","Cubre estudios sobre los aspectos matemáticos & estadísticos de la población humana -- Disponible en acervo: 1988 - 2001 (con algunos faltantes: 1995 y 1998)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Measuring worth","no","N/A","http://www.measuringworth.com/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEE","Economía","N/A","Economía ; Indicadores financieros ; Estados Unidos ; Reino Unido ; Australia","Este portal es una calculadora de indicadores financieros y económicos que se enfoca en resultados de tres países, Estados Unidos, Reino Unido y Australia. El sitio permite realizar los cálculos de los indicadores en una amplia variedad de años y es posible mezclar diferentes medidas, hacer cruces comparativos con cualquiera de los países. Cuenta con un glosario de términos en la especialidad.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mediateca Digital COLMEX","no","si","http://mexmedia.colmex.mx/index.php","N/A","Video digital","Abierto","N/A","El Colegio de México","2012-00-00","Español","PIEM  , General  , CES  , CELL  , CEI  , CEH  , CEE  , CEDUA  , CEAA","Traducción  , Sociología  , Religión  , Relaciones Internacionales  , Medio Ambiente  , Literatura  , Lingüística  , Lenguaje y Lenguas (Estudio y enseñanza)  , Historia  , General (todos los centros)  , Filosofía  , Estudios Urbanos   , Estudios de Género  , Economía   , Demografía    , Ciencia Política  , Administración Pública","N/A","El Colegio de México ; Biblioteca Daniel Cosío Villegas ; Videograbaciones","Repositorio colectivo los recursos digitales audiovisuales derivados de la investigación o de apoyo para la docencia y la investigación.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mediatico.com","no","N/A","http://www.mediatico.com/es/periodicos/","N/A","Periódico","Abierto","N/A","Otros","N/A","Alemán  , Chino  , Coreano  , Español  , Francés  , Inglés  , Italiano  , Japonés  , Portugués","CELL  , CEI  , CEH  , CEE  , CEDUA  , CEAA  , BIBLIOTECA  , CES  , General  , PIEM","Ciencia Política  , Bibliotecología  , Artes  , Administración Pública  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Noticias  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","N/A","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MedicLatina","no","N/A","http://search.ebscohost.com/login.aspx?authtype=ip,url,uid&profile=ehost&defaultdb=lth","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Ebscohost","2015","Español","CEDUA","Demografía","N/A","Medicina ; Salud pública ; Enfermedades crónicas","Colección única sobre investigación médica y revistas científicas de renombre de editores latinoamericanos y españoles. MedicLatina contiene textos completos en formato PDF de revistas médicas revisadas por pares y publicadas en idioma español.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Medievalia","ambos","N/A","http://ehis.ebscohost.com/ehost/detail?sid=cd29e3d1-e256-4929-b7c6-379142345f59%40sessionmgr115&vid=4&hid=102&bdata=Jmxhbmc9ZXMmc2l0ZT1laG9zdC1saXZl#db=zbh&jid=W37","N/A","N/A","Sólo comunidad Colmex","N/A","Universidad Nacional Autónoma de México","N/A","N/A","N/A","N/A","N/A","Edad Media","Disponible en formato impreso: 1990-2010 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Medline","no","N/A","http://newfirstsearch.oclc.org/dbname=MEDLINE;autho=100-226-117;FSIP","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEDUA  , CES","Demografía    , Estudios de Género","N/A","Medicina ; Bases de datos","Incluye información bibliográfica sobre medicina, medicina clínica, nutrición, odontología, educación, medicina experimental, psiquiatría, toxicología, administración de servicios de salud, enfermería, medicina veterinaria. Su índice cubre de 1950 a la actualidad.","N/A","2014-08-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MEMRI: The Middle East Media Research Institute","no","N/A","http://www.memri.org/","N/A","Sitio Web  , Video digital","Abierto","N/A","Otros","2015-00-00","Inglés","CEAA","Ciencia Política  , Noticias  , Religión","N/A","Oriente (Medio Oriente) ; Comunicación visual ; Cercano Oriente ; Política y gobierno","|MEMRI es una organización independiente sin fines de lucro, fundada en febrero de 1998 para informar el debate sobre la política de Estados Unidos en Oriente Medio...proporciona traducciones oportunas de árabe, farsi, urdu-pastún, dari, y medios de comunicación turcos, así como análisis original de las tendencias políticas, ideológicas, intelectuales, sociales, culturales y religiosas.| El sitio se compone principalmente de videos con traducción simultánea de noticias en el ámbito político, religioso y social, principalmente. La página se actualiza diariamente.","N/A","2015-11-02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Men and masculinities","ambos","N/A","http://jmm.sagepub.com/","N/A","Publicación periódica","Falta determinar","N/A","Otros","2015","Inglés","CEDUA","Demografía","N/A","Hombres ; Masculinidad","Men & masculinities (JMM) ofrece investigaciones interdisciplinarias en el campo emergente de los estudios sobre hombres y las masculinidades. JMM presenta aportaciones empíricas y teóricas revisadas por pares, basada en las más actuales perspectivas teóricas dentro de los estudios de género, incluyendo el feminismo, la teoría queer y la multiculturalidad. -- 
En formato impreso los volúmenes de 1998-2008.","N/A","2015-11-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mercosur","no","N/A","http://www.mercosur.int/","N/A","Publicación periódica","Abierto","N/A","Otros","2014-00-00","Español","CEE","Economía","N/A","Economía ; Economía internacional ; América Latina","Portal del Mercosur el cual contiene datos estadísticos de los países que integran este grupo económico y financiero. Contiene todos los reportes emitidos por el organismo, datos estadísticos, documentos de trabajo, publicaciones oficiales y artículos relacionados con la región.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meta","ambos","N/A","http://www.erudit.org/revue/meta/2010/v55/n1/index.html","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Traducción ; Recursos de información electrónicos","Disponible en formato impreso: 1971-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Metabase  Bibliografía en red","no","N/A","http://www.metabase.net/","N/A","Base de Datos","Abierto","N/A","No Aplica","N/A","Español","CEE  , CEDUA  , CEAA  , BIBLIOTECA  , CEH  , CEI  , CELL  , CES  , General  , PIEM","Demografía    , Ciencia Política  , Bibliotecología  , Artes  , Administración Pública  , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Noticias  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","Catálogos de bibliotecas ; Bases de datos","Permite visualizar los registros bibliográficos de universidades de Centroamérica y México.","N/A","2014-08-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexican Archives at the Benson Latin American Collection","no","N/A","http://lanic.utexas.edu/project/lucasalaman/mexicanarchives/collection_list.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Estados Unidos ; Bibliotecas ; Historia ; México","Los materiales están preservados en la sección de Libros Raros y Manuscritos de la Colección Benson.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexican Studies/Estudios Mexicanos","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=mexistudestumexi","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Estudios mexicanos ; Revistas","Disponible en formato impreso: 1985-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"México desconocido","si","N/A","https://www.mexicodesconocido.com.mx/","N/A","N/A","Parcialmente Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Estudios mexicanos ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"México en cifras del Consejo de Población (CONAPO)","no","N/A","http://www.conapo.gob.mx/es/CONAPO/Mexico_en_cifras","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CEDUA","Demografía","N/A","Población ; Proyecciones demográficas ; Dinámica poblacional; México ; Estadísticas","Encontrará datos de México relativos a: Proyecciones, Indicadores demográficos básicos, Índices de marginación, Desarrollo humano, Delimitación de zonas metropolitanas, Salud sexual y reproductiva, Migración internacional, Estimación de mortalidad, Encuesta nacional de la Dinámica Demográfica (ENADID) así como publicaciones del consejo.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexican Law Review","no","N/A","http://biblio.juridicas.unam.mx/revista/MexicanLawReview/","N/A","Publicación periódica","Abierto","N/A","Otros","N/A","Inglés","CEI","Ciencia Política","N/A","Derecho -- México; Derecho comparado; México -- Leyes y legislación","|La Mexican Law Review (MLR) es una revista arbitrada de investigación científica, publicada por el Instituto de Investigaciones Jurídicas de la UNAM. Forma parte de numerosos catálogos, bases de datos e índices nacionales e internacionales, incluido el Índice de Revistas de Excelencia de CONACYT.

La Mexican Law Review tiene como propósito ser un foro de investigación académica, así como un espacio de debate donde se tratan cuestiones jurídicas novedosas de interés para México, Norteamérica y Latinoamérica.

La revista ofrece la oportunidad a investigadores, académicos y estudiantes de publicar artículos y notas sobre cuestiones relevantes del Derecho Mexicano y el Derecho Comparado.|","N/A","2015-10-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"México Migrante (diario digital)","no","N/A","http://mexicomigrante.com.mx/","N/A","Periódico","Falta determinar","N/A","Otros","2016-12","Español","CEDUA","Demografía","N/A","México--Emigración e inmigración--En la prensa ; Inmigrantes--En la prensa  ; Mujeres inmigrantes--En la prensa ; Niños inmigrantes--En la prensa","N/A","N/A","2016-12-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"México y la Cuenca del Pacífico","no","N/A","http://www.mexicoylacuencadelpacifico.cucsh.udg.mx/","N/A","Publicación periódica","Abierto","N/A","Otros","2015-00-00","Español","CEE","Economía","N/A","Economía ; México ; Cuenca del Pacífico ;","Revista editada por la Universidad de Guadalajara que publica artículos sobre economía mexicana y su relación con la zona Asía Pacífico y sus relaciones comerciales, diplomáticas y de negocios.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Microsoft Academic Search","no","N/A","http://academic.research.microsoft.com/","N/A","Base de Datos","Abierto","N/A","Otros","20140821","Español  , Inglés","BIBLIOTECA  , CEAA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General  , PIEM","Administración Pública  , Bibliotecología  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología","N/A","Base de datos","Buscador especializado en recursos académicos. Permite ubicar información por autor, publicación, conferencia, título de la revista, palabra clave y organización. Es interdisciplinario.","N/A","2014-08-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Middle East Academic Forum","no","N/A","http://www.aakazemi.blogspot.mx/","N/A","Sitio Web  , Blog","Abierto","N/A","Otros","2014-00-00","Inglés","CEAA","Relaciones Internacionales  , Ciencia Política","N/A","Medio Oriente ; Relaciones internacionales ; Ciencia Política","Blog a cargo de Ali Asghar Kazemi, profesor de leyes internacionales. Incluye lista de informes y artículos por tema en texto completo. Ejemplo de algunos de éstos: The new cold war, The art of living in terror, The guardian state, etc.","N/A","2014-10-17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Middle East and Islamic Studies","no","N/A","http://library.columbia.edu/locations/global/mideast.html","N/A","Sitio Web","Abierto","N/A","Columbia University Libraries","N/A","Inglés","CEAA","Literatura  , Historia","N/A","Medio Oriente ; Religión ; Islam","Excelente sitio creado por las Bibliotecas de la Universidad de Columbia con el propósito de “apoyar a los programas de investigación y docencia de la Universidad.”  Los bibliotecarios son los responsables de compilar información especializada en las áreas de Medio Oriente y el Norte de África. Muy completo, con información académica sobre diferentes temas dentro de las áreas, pero enfatizando sobre todo en Historia, Religión, Lengua y Literatura, Islamismo y en general, Ciencias Sociales. Los países que incluye el Norte de África son Mauritania, Marruecos, Sahara Occidental, Argelia, Túnez, Malta, Libia, Egipto y Sudan. En el Caso del Medio Oriente: Turquía, Chipre, Siria, Líbano, Israel, Jordania, Arabia Saudita, Kuwait, Bahrein, Qatar, Emiratos Árabes Unidos, Oman, Yemen, Iraq, Afganistán y Armenia.","N/A","2014-10-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
